,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,ZELENI-N,ZELENI-%,DESUS-N,DESUS-%,DD-N,DD-%,GAS-N,GAS-%,ZSI-N,ZSI-%,GSN-N,GSN-%,ZDRUŽENA DESNICA-N,ZDRUŽENA DESNICA-%,LEVICA-N,LEVICA-%,LMŠ-N,LMŠ-%,LNBP-N,LNBP-%,NPS-N,NPS-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,ReSET-N,ReSET-%,SDS-N,SDS-%,SLS-N,SLS-%,SNS-N,SNS-%,SMC-N,SMC-%,SPS-N,SPS-%,SD-N,SD-%,SOLIDARNOST-N,SOLIDARNOST-%,SSN-N,SSN-%,SAB-N,SAB-%,ZD-N,ZD-%
10,1,Kranj,11,Idrija,13760,7388,0.5369,7388,7227,161,1.0,1,51.0,0.0071,184,0.0255,106,0.0147,17,0.0024,53,0.0073,73,0.0101,,,594,0.0822,1039,0.1438,70,0.0097,,,671,0.0928,191,0.0264,,,1742,0.241,188,0.026,217,0.03,595,0.0823,14.0,0.0019,1034,0.1431,27,0.0037,14.0,0.0019,243,0.0336,82,0.0113
11,2,Postojna,1,Tolmin,16520,9109,0.5514,9109,8972,137,1.0,1,40.0,0.0045,410,0.0457,102,0.0114,29,0.0032,45,0.005,77,0.0086,11.0,0.0012,588,0.0655,795,0.0886,49,0.0055,,,989,0.1102,183,0.0204,,,2739,0.3053,375,0.0418,206,0.023,699,0.0779,38.0,0.0042,923,0.1029,33,0.0037,12.0,0.0013,400,0.0446,184,0.0205
12,2,Postojna,2,Piran,14938,6656,0.4456,6656,6541,115,1.0,1,128.0,0.0196,458,0.07,153,0.0234,18,0.0028,33,0.005,73,0.0112,14.0,0.0021,880,0.1345,621,0.0949,79,0.0121,,,270,0.0413,188,0.0287,,,1002,0.1532,43,0.0066,155,0.0237,698,0.1067,17.0,0.0026,1026,0.1569,28,0.0043,20.0,0.0031,470,0.0719,82,0.0125
13,2,Postojna,3,Izola,12761,5960,0.467,5960,5840,120,1.0,2,31.0,0.0053,510,0.0873,182,0.0312,17,0.0029,22,0.0038,143,0.0245,8.0,0.0014,785,0.1344,572,0.0979,82,0.014,,,197,0.0337,157,0.0269,,,930,0.1592,67,0.0115,176,0.0301,727,0.1245,10.0,0.0017,720,0.1233,20,0.0034,,,348,0.0596,75,0.0128
14,2,Postojna,4,Koper 1,18762,8428,0.4492,8428,8282,146,1.0,1,76.0,0.0092,538,0.065,156,0.0188,22,0.0027,44,0.0053,131,0.0158,7.0,0.0008,1554,0.1876,876,0.1058,93,0.0112,,,408,0.0493,279,0.0337,,,1026,0.1239,55,0.0066,264,0.0319,822,0.0993,34.0,0.0041,1030,0.1244,54,0.0065,12.0,0.0014,628,0.0758,79,0.0095
15,2,Postojna,5,Koper 2,24784,11303,0.4561,11303,11078,225,1.0,0,137.0,0.0124,616,0.0556,262,0.0237,85,0.0077,66,0.006,186,0.0168,12.0,0.0011,1593,0.1438,1342,0.1211,157,0.0142,,,644,0.0581,271,0.0245,,,1762,0.1591,86,0.0078,409,0.0369,1234,0.1114,23.0,0.0021,1187,0.1071,49,0.0044,22.0,0.002,719,0.0649,120,0.0108
16,2,Postojna,6,Sežana,21862,10745,0.4915,10745,10557,188,1.0,1,87.0,0.0082,640,0.0606,164,0.0155,36,0.0034,56,0.0053,267,0.0253,24.0,0.0023,1332,0.1262,1157,0.1096,88,0.0083,,,512,0.0485,287,0.0272,,,1792,0.1697,130,0.0123,489,0.0463,854,0.0809,21.0,0.002,1405,0.1331,17,0.0016,20.0,0.0019,1028,0.0974,85,0.0081
17,2,Postojna,7,Ilirska Bistrica,13031,5891,0.4521,5890,5788,102,1.0,0,33.0,0.0057,486,0.084,85,0.0147,66,0.0114,20,0.0035,62,0.0107,8.0,0.0014,520,0.0898,544,0.094,47,0.0081,,,696,0.1202,93,0.0161,,,1335,0.2306,68,0.0117,253,0.0437,478,0.0826,11.0,0.0019,626,0.1082,14,0.0024,9.0,0.0016,280,0.0484,22,0.0038
18,2,Postojna,8,Postojna,18152,9178,0.5056,9178,9081,97,1.0,2,54.0,0.0059,408,0.0449,122,0.0134,28,0.0031,23,0.0025,41,0.0045,18.0,0.002,1041,0.1146,1158,0.1275,77,0.0085,,,604,0.0665,228,0.0251,,,2481,0.2732,229,0.0252,258,0.0284,925,0.1019,27.0,0.003,750,0.0826,16,0.0018,14.0,0.0015,490,0.054,45,0.005
19,2,Postojna,9,Nova Gorica 1,25420,13074,0.5143,13073,12903,170,1.0,0,82.0,0.0064,814,0.0631,147,0.0114,69,0.0053,95,0.0074,115,0.0089,15.0,0.0012,1063,0.0824,1044,0.0809,138,0.0107,,,1038,0.0804,281,0.0218,,,3372,0.2613,323,0.025,360,0.0279,929,0.072,32.0,0.0025,1887,0.1462,32,0.0025,18.0,0.0014,876,0.0679,99,0.0077
20,2,Postojna,10,Nova Gorica 2,24294,12900,0.531,12900,12734,166,1.0,1,77.0,0.006,613,0.0481,228,0.0179,88,0.0069,118,0.0093,234,0.0184,9.0,0.0007,1717,0.1348,950,0.0746,104,0.0082,,,734,0.0576,284,0.0223,,,2586,0.2031,133,0.0104,268,0.021,956,0.0751,23.0,0.0018,2324,0.1825,47,0.0037,17.0,0.0013,1043,0.0819,83,0.0065
21,2,Postojna,11,Ajdovščina,20670,11834,0.5725,11834,11604,230,1.0,2,87.0,0.0075,289,0.0249,105,0.009,47,0.0041,124,0.0107,83,0.0072,14.0,0.0012,963,0.083,961,0.0828,191,0.0165,,,1787,0.154,256,0.0221,,,3498,0.3014,204,0.0176,244,0.021,593,0.0511,17.0,0.0015,1606,0.1384,33,0.0028,,,356,0.0307,66,0.0057
22,3,Ljubljana Center,1,Logatec,24977,14300,0.5725,14300,14131,169,1.0,3,79.0,0.0056,527,0.0373,190,0.0134,74,0.0052,64,0.0045,48,0.0034,16.0,0.0011,1238,0.0876,1989,0.1408,106,0.0075,,,1753,0.1241,347,0.0246,,,3872,0.274,268,0.019,432,0.0306,1206,0.0853,29.0,0.0021,1137,0.0805,48,0.0034,12.0,0.0008,534,0.0378,120,0.0085
23,3,Ljubljana Center,2,Vrhnika,19824,11649,0.5876,11646,11524,122,1.0,0,96.0,0.0083,455,0.0395,184,0.016,48,0.0042,55,0.0048,59,0.0051,6.0,0.0005,1177,0.1021,1707,0.1481,100,0.0087,,,908,0.0788,359,0.0312,,,2784,0.2416,102,0.0089,379,0.0329,1115,0.0968,31.0,0.0027,1165,0.1011,23,0.002,12.0,0.001,594,0.0515,102,0.0089
24,3,Ljubljana Center,3,Ljubljana Vič-Rudnik 1,24837,14196,0.5716,14196,14056,140,1.0,1,96.0,0.0068,528,0.0376,290,0.0206,51,0.0036,50,0.0036,54,0.0038,9.0,0.0006,1306,0.0929,1927,0.1371,139,0.0099,,,1014,0.0721,371,0.0264,,,3940,0.2803,336,0.0239,454,0.0323,1422,0.1012,19.0,0.0014,1096,0.078,56,0.004,24.0,0.0017,711,0.0506,101,0.0072
25,3,Ljubljana Center,4,Ljubljana Vič-Rudnik 2,16887,9480,0.5614,9480,9397,83,1.0,1,,,464,0.0494,158,0.0168,27,0.0029,23,0.0024,55,0.0059,4.0,0.0004,1417,0.1508,1066,0.1134,100,0.0106,,,663,0.0706,319,0.0339,,,1924,0.2047,67,0.0071,231,0.0246,1287,0.137,19.0,0.002,829,0.0882,19,0.002,8.0,0.0009,560,0.0596,95,0.0101
26,3,Ljubljana Center,5,Ljubljana Vič-Rudnik 3,16601,9888,0.5956,9887,9818,69,1.0,2,54.0,0.0055,445,0.0453,183,0.0186,28,0.0029,28,0.0029,49,0.005,11.0,0.0011,1566,0.1595,1007,0.1026,105,0.0107,,,566,0.0576,319,0.0325,,,1777,0.181,50,0.0051,228,0.0232,1656,0.1687,21.0,0.0021,841,0.0857,18,0.0018,8.0,0.0008,744,0.0758,59,0.006
27,3,Ljubljana Center,6,Ljubljana Vič-Rudnik 4,21334,12507,0.5862,12503,12385,118,1.0,1,65.0,0.0052,357,0.0288,192,0.0155,42,0.0034,61,0.0049,35,0.0028,19.0,0.0015,1458,0.1177,1496,0.1208,138,0.0111,,,971,0.0784,328,0.0265,,,3715,0.3,180,0.0145,319,0.0258,1308,0.1056,22.0,0.0018,908,0.0733,15,0.0012,9.0,0.0007,601,0.0485,78,0.0063
28,3,Ljubljana Center,7,Ljubljana Center,22385,11670,0.5213,11664,11551,113,1.0,1,71.0,0.0061,441,0.0382,197,0.0171,59,0.0051,26,0.0023,41,0.0035,5.0,0.0004,2769,0.2397,910,0.0788,117,0.0101,,,658,0.057,446,0.0386,,,1943,0.1682,67,0.0058,171,0.0148,1408,0.1219,22.0,0.0019,1218,0.1054,45,0.0039,14.0,0.0012,788,0.0682,68,0.0059
29,3,Ljubljana Center,8,Ljubljana Šiška 1,14397,8008,0.5562,8008,7927,81,1.0,1,49.0,0.0062,495,0.0624,125,0.0158,30,0.0038,35,0.0044,49,0.0062,5.0,0.0006,1509,0.1904,881,0.1111,90,0.0114,,,375,0.0473,257,0.0324,,,1250,0.1577,31,0.0039,183,0.0231,1040,0.1312,18.0,0.0023,799,0.1008,23,0.0029,10.0,0.0013,544,0.0686,69,0.0087
30,3,Ljubljana Center,9,Ljubljana Šiška 2,18497,10457,0.5653,10457,10368,89,1.0,1,68.0,0.0066,575,0.0555,199,0.0192,29,0.0028,47,0.0045,39,0.0038,11.0,0.0011,1754,0.1692,1108,0.1069,112,0.0108,,,584,0.0563,312,0.0301,,,1759,0.1697,50,0.0048,213,0.0205,1416,0.1366,24.0,0.0023,1129,0.1089,23,0.0022,3.0,0.0003,776,0.0748,68,0.0066
31,3,Ljubljana Center,10,Ljubljana Šiška 3,17113,9884,0.5776,9884,9814,70,1.0,0,57.0,0.0058,453,0.0462,213,0.0217,25,0.0025,31,0.0032,36,0.0037,4.0,0.0004,1377,0.1403,1240,0.1264,103,0.0105,,,591,0.0602,319,0.0325,,,2025,0.2063,53,0.0054,258,0.0263,1234,0.1257,30.0,0.0031,923,0.094,19,0.0019,14.0,0.0014,692,0.0705,79,0.008
32,3,Ljubljana Center,11,Ljubljana Šiška 4,22008,13346,0.6064,13346,13202,144,1.0,0,117.0,0.0089,460,0.0348,252,0.0191,54,0.0041,52,0.0039,62,0.0047,41.0,0.0031,1276,0.0967,2092,0.1585,132,0.01,,,1202,0.091,359,0.0272,,,3042,0.2304,200,0.0151,438,0.0332,1391,0.1054,15.0,0.0011,978,0.0741,42,0.0032,10.0,0.0008,793,0.0601,138,0.0105
33,4,Ljubljana Bežigrad,1,Kočevje,14548,6656,0.4575,6656,6560,96,1.0,1,27.0,0.0041,442,0.0674,41,0.0062,15,0.0023,33,0.005,11,0.0017,8.0,0.0012,472,0.072,1001,0.1526,46,0.007,,,294,0.0448,96,0.0146,,,1084,0.1652,89,0.0136,477,0.0727,586,0.0893,17.0,0.0026,989,0.1508,21,0.0032,9.0,0.0014,221,0.0337,19,0.0029
34,4,Ljubljana Bežigrad,2,Ribnica,11611,6488,0.5588,6488,6390,98,1.0,2,56.0,0.0088,118,0.0185,56,0.0088,20,0.0031,40,0.0063,26,0.0041,11.0,0.0017,292,0.0457,802,0.1255,62,0.0097,,,792,0.1239,101,0.0158,,,2160,0.338,446,0.0698,293,0.0459,319,0.0499,12.0,0.0019,387,0.0606,18,0.0028,12.0,0.0019,164,0.0257,36,0.0056
35,4,Ljubljana Bežigrad,3,Grosuplje,31591,18055,0.5715,18054,17862,192,1.0,1,111.0,0.0062,532,0.0298,242,0.0135,61,0.0034,61,0.0034,64,0.0036,19.0,0.0011,1107,0.062,2082,0.1166,137,0.0077,,,1365,0.0764,376,0.0211,,,7020,0.393,576,0.0322,491,0.0275,1661,0.093,35.0,0.002,1018,0.057,37,0.0021,22.0,0.0012,642,0.0359,128,0.0072
36,4,Ljubljana Bežigrad,4,Litija,17327,9435,0.5445,9435,9314,121,1.0,1,59.0,0.0063,461,0.0495,96,0.0103,10,0.0011,67,0.0072,25,0.0027,12.0,0.0013,781,0.0839,1634,0.1754,40,0.0043,,,508,0.0545,158,0.017,,,2488,0.2671,750,0.0805,337,0.0362,766,0.0822,16.0,0.0017,676,0.0726,12,0.0013,22.0,0.0024,313,0.0336,47,0.005
37,4,Ljubljana Bežigrad,5,Ljubljana Moste-Polje 1,23264,12677,0.5449,12676,12538,138,1.0,0,102.0,0.0081,625,0.0498,157,0.0125,37,0.003,49,0.0039,92,0.0073,11.0,0.0009,1359,0.1084,2083,0.1661,89,0.0071,,,908,0.0724,322,0.0257,,,2955,0.2357,170,0.0136,406,0.0324,1361,0.1086,28.0,0.0022,936,0.0747,34,0.0027,21.0,0.0017,651,0.0519,72,0.0057
38,4,Ljubljana Bežigrad,6,Ljubljana Moste-Polje 2,15981,7569,0.4736,7567,7505,62,1.0,1,66.0,0.0088,735,0.0979,110,0.0147,28,0.0037,23,0.0031,62,0.0083,5.0,0.0007,1291,0.172,1052,0.1402,76,0.0101,,,352,0.0469,215,0.0286,,,1088,0.145,36,0.0048,183,0.0244,806,0.1074,12.0,0.0016,735,0.0979,21,0.0028,8.0,0.0011,511,0.0681,53,0.0071
39,4,Ljubljana Bežigrad,7,Ljubljana Moste-Polje 3,20726,10496,0.5064,10494,10375,119,1.0,2,64.0,0.0062,695,0.067,162,0.0156,22,0.0021,41,0.004,67,0.0065,13.0,0.0013,1515,0.146,1432,0.138,104,0.01,,,602,0.058,339,0.0327,,,1895,0.1827,68,0.0066,272,0.0262,1183,0.114,35.0,0.0034,951,0.0917,30,0.0029,20.0,0.0019,718,0.0692,79,0.0076
40,4,Ljubljana Bežigrad,8,Ljubljana Bežigrad 1,23530,14135,0.6007,14132,14009,123,1.0,0,66.0,0.0047,609,0.0435,481,0.0343,59,0.0042,31,0.0022,81,0.0058,12.0,0.0009,1860,0.1328,1885,0.1346,155,0.0111,,,958,0.0684,431,0.0308,,,2816,0.201,81,0.0058,295,0.0211,1738,0.1241,31.0,0.0022,1252,0.0894,27,0.0019,11.0,0.0008,954,0.0681,95,0.0068
41,4,Ljubljana Bežigrad,9,Ljubljana Bežigrad 2,21535,11665,0.5417,11664,11567,97,1.0,1,73.0,0.0063,580,0.0501,200,0.0173,46,0.004,42,0.0036,54,0.0047,11.0,0.001,2352,0.2033,1301,0.1125,115,0.0099,,,538,0.0465,454,0.0392,,,1921,0.1661,44,0.0038,259,0.0224,1580,0.1366,31.0,0.0027,1020,0.0882,28,0.0024,5.0,0.0004,770,0.0666,91,0.0079
42,4,Ljubljana Bežigrad,10,Domžale 1,23993,14021,0.5844,14020,13878,142,1.0,1,178.0,0.0128,370,0.0267,127,0.0092,34,0.0024,64,0.0046,47,0.0034,20.0,0.0014,813,0.0586,3522,0.2538,99,0.0071,,,1668,0.1202,357,0.0257,,,3006,0.2166,224,0.0161,462,0.0333,1163,0.0838,26.0,0.0019,886,0.0638,23,0.0017,15.0,0.0011,646,0.0465,93,0.0067
43,4,Ljubljana Bežigrad,11,Domžale 2,22460,13200,0.5877,13200,13076,124,1.0,1,129.0,0.0099,472,0.0361,226,0.0173,40,0.0031,47,0.0036,48,0.0037,7.0,0.0005,1169,0.0894,3026,0.2314,121,0.0093,,,1013,0.0775,337,0.0258,,,2589,0.198,110,0.0084,387,0.0296,1452,0.111,11.0,0.0008,952,0.0728,29,0.0022,19.0,0.0015,767,0.0587,84,0.0064
44,5,Celje,1,Šentjur pri Celju,17150,8897,0.5188,8897,8797,100,1.0,3,164.0,0.0186,635,0.0722,118,0.0134,12,0.0014,85,0.0097,24,0.0027,15.0,0.0017,434,0.0493,961,0.1092,41,0.0047,,,454,0.0516,97,0.011,18.0,0.002,3075,0.3496,389,0.0442,522,0.0593,976,0.1109,6.0,0.0007,447,0.0508,15,0.0017,,,270,0.0307,39,0.0044
45,5,Celje,2,Celje 1,29801,15268,0.5123,15268,15044,224,1.0,0,180.0,0.012,751,0.0499,222,0.0148,26,0.0017,110,0.0073,79,0.0053,34.0,0.0023,1159,0.077,1808,0.1202,164,0.0109,,,973,0.0647,311,0.0207,38.0,0.0025,4349,0.2891,557,0.037,869,0.0578,1484,0.0986,25.0,0.0017,1101,0.0732,30,0.002,,,682,0.0453,92,0.0061
46,5,Celje,3,Celje 2,22725,11517,0.5068,11517,11375,142,1.0,2,106.0,0.0093,642,0.0564,160,0.0141,28,0.0025,79,0.0069,45,0.004,15.0,0.0013,1343,0.1181,1273,0.1119,123,0.0108,,,504,0.0443,320,0.0281,25.0,0.0022,2596,0.2282,343,0.0302,614,0.054,1294,0.1138,19.0,0.0017,1030,0.0905,33,0.0029,,,715,0.0629,68,0.006
47,5,Celje,4,Žalec 1,18011,10124,0.5621,10124,10003,121,1.0,0,72.0,0.0072,693,0.0693,157,0.0157,24,0.0024,62,0.0062,35,0.0035,12.0,0.0012,592,0.0592,1178,0.1178,73,0.0073,,,488,0.0488,232,0.0232,21.0,0.0021,3029,0.3028,369,0.0369,548,0.0548,870,0.087,19.0,0.0019,788,0.0788,13,0.0013,,,668,0.0668,60,0.006
48,5,Celje,5,Žalec 2,18647,10992,0.5895,10992,10878,114,1.0,1,100.0,0.0092,754,0.0693,151,0.0139,46,0.0042,71,0.0065,34,0.0031,16.0,0.0015,684,0.0629,1482,0.1362,68,0.0063,,,1076,0.0989,197,0.0181,18.0,0.0017,2964,0.2725,294,0.027,557,0.0512,814,0.0748,16.0,0.0015,868,0.0798,23,0.0021,,,573,0.0527,72,0.0066
49,5,Celje,6,Mozirje,13859,7879,0.5685,7879,7802,77,1.0,2,37.0,0.0047,336,0.0431,86,0.011,5,0.0006,48,0.0062,12,0.0015,18.0,0.0023,467,0.0599,1384,0.1774,54,0.0069,,,755,0.0968,124,0.0159,24.0,0.0031,2643,0.3388,274,0.0351,326,0.0418,503,0.0645,9.0,0.0012,370,0.0474,6,0.0008,,,292,0.0374,29,0.0037
50,5,Celje,7,Velenje 1,16637,8743,0.5255,8742,8655,87,1.0,0,61.0,0.007,524,0.0605,95,0.011,21,0.0024,45,0.0052,51,0.0059,28.0,0.0032,714,0.0825,996,0.1151,132,0.0153,,,363,0.0419,187,0.0216,22.0,0.0025,2108,0.2436,140,0.0162,377,0.0436,726,0.0839,14.0,0.0016,1595,0.1843,24,0.0028,,,399,0.0461,33,0.0038
51,5,Celje,8,Velenje 2,17589,9557,0.5434,9555,9435,120,1.0,1,68.0,0.0072,461,0.0489,112,0.0119,24,0.0025,59,0.0063,30,0.0032,16.0,0.0017,530,0.0562,1155,0.1224,133,0.0141,,,626,0.0663,160,0.017,24.0,0.0025,3108,0.3294,185,0.0196,448,0.0475,671,0.0711,14.0,0.0015,1245,0.132,23,0.0024,,,316,0.0335,27,0.0029
52,5,Celje,9,Slovenj Gradec,18197,10449,0.5742,10449,10333,116,1.0,1,76.0,0.0074,440,0.0426,147,0.0142,8,0.0008,82,0.0079,22,0.0021,8.0,0.0008,876,0.0848,1471,0.1424,39,0.0038,,,502,0.0486,192,0.0186,70.0,0.0068,2639,0.2554,238,0.023,467,0.0452,1098,0.1063,11.0,0.0011,1448,0.1401,11,0.0011,,,463,0.0448,25,0.0024
53,5,Celje,10,Ravne na Koroškem,21597,12014,0.5563,12013,11918,95,1.0,1,58.0,0.0049,528,0.0443,185,0.0155,29,0.0024,77,0.0065,43,0.0036,11.0,0.0009,805,0.0675,985,0.0826,50,0.0042,,,584,0.049,113,0.0095,145.0,0.0122,3588,0.3011,87,0.0073,523,0.0439,1112,0.0933,15.0,0.0013,2565,0.2152,8,0.0007,,,379,0.0318,28,0.0023
54,5,Celje,11,Radlje ob Dravi,21155,10826,0.5117,10826,10717,109,1.0,0,93.0,0.0087,632,0.059,137,0.0128,14,0.0013,95,0.0089,32,0.003,21.0,0.002,574,0.0536,1421,0.1326,46,0.0043,,,543,0.0507,131,0.0122,262.0,0.0244,3016,0.2814,121,0.0113,577,0.0538,833,0.0777,14.0,0.0013,1794,0.1674,15,0.0014,,,315,0.0294,31,0.0029
55,6,Novo mesto,1,Črnomelj,23140,11183,0.4833,11181,11081,100,1.0,0,59.0,0.0053,831,0.075,198,0.0179,27,0.0024,28,0.0025,9,0.0008,,,654,0.059,1142,0.1031,50,0.0045,,,744,0.0671,120,0.0108,,,2992,0.27,229,0.0207,611,0.0551,1119,0.101,20.0,0.0018,1755,0.1584,16,0.0014,12.0,0.0011,328,0.0296,43,0.0039
56,6,Novo mesto,2,Novo mesto 1,26560,13237,0.4984,13237,13053,184,1.0,1,177.0,0.0136,484,0.0371,374,0.0287,286,0.0219,80,0.0061,21,0.0016,,,643,0.0493,1187,0.0909,90,0.0069,,,1076,0.0824,177,0.0136,,,4163,0.3189,697,0.0534,860,0.0659,1038,0.0795,16.0,0.0012,1111,0.0851,49,0.0038,22.0,0.0017,389,0.0298,76,0.0058
57,6,Novo mesto,3,Novo mesto 2,25849,13513,0.5228,13512,13347,165,1.0,0,111.0,0.0083,802,0.0601,232,0.0174,233,0.0175,52,0.0039,54,0.004,,,1125,0.0843,1298,0.0973,91,0.0068,,,850,0.0637,275,0.0206,,,2956,0.2215,214,0.016,790,0.0592,1636,0.1226,16.0,0.0012,1516,0.1136,233,0.0175,22.0,0.0016,662,0.0496,98,0.0073
58,6,Novo mesto,4,Trebnje,16555,8742,0.5281,8742,8648,94,1.0,2,85.0,0.0098,262,0.0303,133,0.0154,30,0.0035,45,0.0052,29,0.0034,,,415,0.048,825,0.0954,31,0.0036,,,745,0.0861,124,0.0143,,,2394,0.2768,643,0.0744,387,0.0448,973,0.1125,12.0,0.0014,1091,0.1262,24,0.0028,25.0,0.0029,227,0.0262,37,0.0043
59,6,Novo mesto,5,Brežice,21471,9711,0.4523,9711,9617,94,1.0,1,63.0,0.0066,535,0.0556,114,0.0119,27,0.0028,58,0.006,50,0.0052,,,1114,0.1158,878,0.0913,44,0.0046,,,425,0.0442,97,0.0101,,,2450,0.2548,235,0.0244,509,0.0529,1731,0.18,14.0,0.0015,594,0.0618,14,0.0015,16.0,0.0017,519,0.054,40,0.0042
60,6,Novo mesto,6,Krško,23810,11354,0.4769,11352,11240,112,1.0,1,96.0,0.0085,434,0.0386,152,0.0135,16,0.0014,98,0.0087,28,0.0025,,,954,0.0849,1217,0.1083,46,0.0041,,,525,0.0467,110,0.0098,,,2660,0.2367,1399,0.1245,877,0.078,1013,0.0901,19.0,0.0017,922,0.082,14,0.0012,16.0,0.0014,498,0.0443,36,0.0032
